LibID	QualityFilter	Replicate1_NumReads	Replicate2_NumReads	Replicate1_ExpressionMean	Replicate2_ExpressionMean	Replicate1_ExpressionNoise	Replicate2_ExpressionNoise
3738.000000	1.000000	10257.000000	10739.000000	1.575900	1.631000	0.039880	0.040000
3739.000000	1.000000	15461.000000	15714.000000	1.596800	1.641700	0.031613	0.038494
3740.000000	0.000000	7382.000000	2095.000000	0.194200	0.188700	0.144020	0.243444
3741.000000	1.000000	17979.000000	18349.000000	2.254300	2.454500	0.023074	0.032870
3742.000000	0.000000	927.000000	1921.000000	1.112800	1.229700	0.059146	0.047830
3743.000000	1.000000	1980.000000	3527.000000	1.022100	0.922500	0.054242	0.035872
3744.000000	0.000000	856.000000	103.000000	1.025900	0.965800	0.018387	0.031898
3745.000000	0.000000	673.000000	863.000000	1.605400	1.562900	0.037752	0.036290
3746.000000	1.000000	1454.000000	749.000000	4.268200	5.305600	0.093697	0.048092
3747.000000	0.000000	398.000000	1172.000000	7.746900	8.595100	0.088031	0.045284
3748.000000	1.000000	2742.000000	1569.000000	1.076200	1.078300	0.202410	0.125883
3749.000000	1.000000	1577.000000	3791.000000	1.179300	1.188500	0.192282	0.143262
3750.000000	0.000000	7268.000000	8188.000000	0.191600	0.205800	0.159121	0.147379
3751.000000	0.000000	14400.000000	19313.000000	0.994700	1.028200	0.100299	0.206116
3752.000000	1.000000	3426.000000	7930.000000	0.280600	0.324900	0.152959	0.120687
3753.000000	1.000000	11099.000000	10705.000000	1.924300	2.102700	0.062400	0.068330
3754.000000	1.000000	3163.000000	10070.000000	0.920000	0.887900	0.242655	0.242556
3755.000000	1.000000	12973.000000	14287.000000	5.381300	5.825500	0.108702	0.091870
3756.000000	1.000000	5062.000000	7278.000000	0.495300	0.508900	0.353311	0.287189
3757.000000	0.000000	16310.000000	18438.000000	2.520300	2.676500	0.074311	0.165568
3758.000000	0.000000	24.000000	40.000000	10.258400	12.285200	0.127235	0.130465
3759.000000	1.000000	1163.000000	1962.000000	1.777600	1.917800	0.019127	0.024555
3760.000000	0.000000	669.000000	823.000000	1.782400	1.937500	0.016564	0.037986
3761.000000	0.000000	1.000000	11.000000				
3762.000000	1.000000	1788.000000	1716.000000	5.895400	6.483200	0.025664	0.047393
3763.000000	0.000000	633.000000	107.000000	7.069700	6.942400	0.042684	0.004610
3764.000000	0.000000	15.000000	4.000000				
3765.000000	1.000000	2250.000000	1723.000000	3.194200	3.390200	0.031577	0.035081
3766.000000	0.000000	1286.000000	759.000000	3.297900	3.347500	0.027622	0.025824
3767.000000	0.000000	74.000000	158.000000	2.860800	4.446400	0.027622	0.001772
3768.000000	0.000000	1797.000000	601.000000	6.185800	6.965100	0.074147	0.227529
3769.000000	0.000000	669.000000	331.000000	5.148700	6.101600	0.020136	0.020707
