Abundance and Variation Measurements for Strains Grown in YEPD and SD
			Corrected Abundance Measurements					SD/YEPD Ratios			Log2 (SD/YEPD) Ratios			Changes in YEPD		Changes in SD			Reason Absent?							
ORF	Name		Ave. YEPD	Error	Ave. SD	Error		Ratio	Error		Log2	Error		Up 99% confidence	Up 2-fold	Up 99% confidence	Up 2-fold		YEPD	SD			Ave. CV YEPD	DM YEPD	Ave. CV SD	DM SD
YAR015W	ADE1		1013.0	45.91	2335.0	102.65		2.305	0.146		1.205	0.091				1	1						19.56	4.493	11.405	-1.092
YAR019C	CDC15																		Abundance Low	Abundance Low						
YAR027W	UIP3																		Abundance Low	Abundance Low						
YAR028W			129.5	22.39																Abundance Low			22.825	0.311		
YAR044W			121.0	22.44	133.5	24.18		1.103	0.286		0.142	0.374											21.45	-0.852	16.545	0.113
YAR071W	PHO11		55.0	21.46																Abundance Low						
YBL001C	ECM15																		Abundance Low	Abundance Low						
YBL002W	HTB2		6460.0	230.92	5540.3	226.16		0.858	0.047		-0.222	0.078		1									11.19	-1.629	10.795	-1.227
YBL003C	HTA2		4086.0	148.45	4040.5	167.86		0.989	0.055		-0.016	0.080											13.94	0.736		
YBL004W	UTP20		269.0	25.25	103.3	22.76		0.384	0.092		-1.380	0.345		1	1								19.41	0.764	17.405	0.753
YBL005W	PDR3																		Abundance Low	Abundance Low						
YBL007C	SLA1		585.0	33.14	665.0	40.00		1.137	0.094		0.185	0.119											19.465	3.233	12.68	-0.915
YBL008W	HIR1																		Abundance Low	Abundance Low						
YBL010C																			Abundance Low	Abundance Low						
YBL011W	SCT1		193.5	23.49	128.8	23.26		0.666	0.145		-0.587	0.314											19.85	-0.312	15.255	-0.933
YBL013W	FMT1																		Abundance Low	Abundance Low						
YBL014C	RRN6																		Abundance Low	Abundance Low						
YBL015W	ACH1		47.5	21.36	205.0	26.04		4.316	2.017		2.110	0.674				1	1								25.685	10.125
YBL016W	FUS3		367.5	27.49	216.5	26.50		0.589	0.085		-0.763	0.207		1									16.14	-1.307	16.88	1.545
YBL017C	PEP1		305.5	26.05	219.5	25.27		0.718	0.103		-0.477	0.207											17.21	-1.003	15.7	0.585
YBL018C	POP8																		Abundance Low	Abundance Low						
YBL019W	APN2																		Abundance Low	Abundance Low						
YBL021C	HAP3		54.0	21.45	88.6	22.46		1.641	0.773		0.714	0.680														
YBL022C	PIM1		91.0	21.97	143.3	23.74		1.574	0.461		0.655	0.422											24.61	0.234	17.2	1.230
YBL023C	MCM2		145.0	22.84	115.0	23.77		0.793	0.206		-0.334	0.375											23.25	1.818	17.625	0.537
YBL024W	NCL1		721.0	37.01	318.0	28.87		0.441	0.046		-1.181	0.150		1	1								15.08	-0.636	43.435	29.111
YBL025W	RRN10																		Abundance Low	Abundance Low						
YBL026W	LSM2		273.0	25.34	296.6	27.38		1.086	0.142		0.120	0.189											21.045	2.728	15.745	1.091
YBL027W	RPL19B		4134.5	150.42	3397.0	143.96		0.822	0.046		-0.283	0.081		1									10.485	-2.656	9	-3.272
YBL028C			660.5	34.93	360.3	28.90		0.546	0.052		-0.874	0.139		1									15.255	-0.696	13.855	-0.382
YBL029C-A			135.5	22.68	156.8	23.85		1.157	0.262		0.210	0.326											22.63	0.678	16.12	0.348
YBL029W																			Abundance Low	Abundance Low						
YBL031W	SHE1																		Abundance Low	Abundance Low						
YBL032W	HEK2		713.5	36.85	539.5	36.14		0.756	0.064		-0.403	0.122		1									14.595	-1.194	12.305	-1.485
YBL033C	RIB1		254.0	35.26	313.0	29.18		1.232	0.206		0.301	0.241											18.41	-0.456	12.855	-1.737
YBL034C	STU1																		Failed QC	Abundance Low						
YBL035C	POL12		58.0	21.50																Abundance Low						
YBL036C			261.5	25.09	190.5	25.79		0.728	0.121		-0.457	0.239											19.225	0.652	16.385	0.891
