Abundance and Variation Measurements for Strains Grown in YEPD and SD
			Corrected Abundance Measurements					SD/YEPD Ratios			Log2 (SD/YEPD) Ratios			Changes in YEPD		Changes in SD			Reason Absent?							
ORF	Name		Ave. YEPD	Error	Ave. SD	Error		Ratio	Error		Log2	Error		Up 99% confidence	Up 2-fold	Up 99% confidence	Up 2-fold		YEPD	SD			Ave. CV YEPD	DM YEPD	Ave. CV SD	DM SD
YDR125C	ECM18																		Abundance Low	Abundance Low						
YDR127W	ARO1		632.0	34.47	1564.5	77.47		2.475	0.182		1.308	0.106				1	1						17.865	1.841	12.8	0.015
YDR128W																			Abundance Low	Abundance Low						
YDR129C	SAC6		1438.0	59.41	1561.0	72.44		1.086	0.067		0.118	0.090											16.105	1.630	12.48	-0.304
YDR130C	FIN1																		Abundance Low	Abundance Low						
YDR131C																			Abundance Low	Abundance Low						
YDR132C																			Abundance Low	Abundance Low						
YDR135C	YCF1		215.5	24.15	208.9	25.08		0.969	0.159		-0.045	0.237											19.245	-0.230	14.965	-0.255
YDR137W	RGP1																		Abundance Low	Abundance Low						
YDR138W	HPR1		54.0	21.45	50.0	22.40		0.926	0.554		-0.111	0.864														
YDR139C	RUB1																		Abundance Low	Abundance Low						
YDR140W			64.0	21.58																Abundance Low			24.235	-2.977		
YDR141C	DOP1		145.0	22.84																Abundance Low			20.05	-1.207		
YDR144C	MKC7																		Abundance Low	Abundance Low						
YDR145W	TAF12		131.0	22.61	69.0	22.81		0.527	0.196		-0.925	0.538											25.355	3.814	18.77	0.188
YDR146C	SWI5																		Abundance Low	Abundance Low						
YDR147W	EKI1																		Abundance Low	Abundance Low						
YDR148C	KGD2		73.0	21.54	211.0	38.38		2.890	1.002		1.531	0.500				1	1						26.45	-0.557	16.615	1.341
YDR150W	NUM1		75.0	21.74	83.5	23.56		1.113	0.450		0.155	0.584											23.975	-1.438	17.5	-0.271
YDR152W	GIR2		572.0	32.80	272.0	28.00		0.476	0.056		-1.072	0.170		1	1								14.985	-1.243		
YDR153C	ENT5		422.5	28.84	273.5	27.85		0.647	0.079		-0.627	0.177		1									15.93	-1.165	13.385	-1.510
YDR155C	CPR1		6004.0	214.54	3841.4	158.65		0.640	0.035		-0.644	0.079		1									12.935	0.087	12.445	0.253
YDR156W	RPA14		139.0	22.54	105.0	23.04		0.755	0.206		-0.405	0.394											23.86	1.649	17.255	-1.227
YDR158W	HOM2		821.0	39.99	1654.0	76.67		2.015	0.135		1.011	0.097				1	1						15.055	-0.384	10.96	-1.742
YDR159W	SAC3																		Abundance Low	Abundance Low						
YDR161W			223.0	24.32	139.5	24.58		0.626	0.130		-0.677	0.299											18.76	-0.331	16.7	0.398
YDR164C	SEC1																		Abundance Low	Abundance Low						
YDR165W	TRM82		354.5	27.18	188.5	25.70		0.532	0.083		-0.911	0.226		1									18.205	0.610	16.675	1.089
YDR166C	SEC5		128.5	22.56	115.9	22.96		0.902	0.239		-0.149	0.382											23.09	0.648	15.535	-0.897
YDR167W	TAF10		103.0	22.17	90.5	23.45		0.879	0.296		-0.187	0.486														
YDR168W	CDC37		448.5	29.50	400.5	31.25		0.893	0.091		-0.163	0.147											16.02	-0.880	14.15	-0.130
YDR169C	STB3		96.0	31.18	91.5	23.23		0.953	0.393		-0.069	0.595													17.2	-0.366
YDR170C	SEC7		322.0	26.42	249.7	25.99		0.775	0.103		-0.367	0.191											17.63	-0.456	13.965	-0.863
YDR170W-A			593.5	33.38	589.5	37.80		0.993	0.085		-0.010	0.123											29.895	13.748	29.695	16.042
YDR171W	HSP42		183.0	23.52	232.5	26.85		1.270	0.220		0.345	0.249											28.5	7.956	17.425	2.257
YDR172W	SUP35		2617.0	98.84	2233.5	98.03		0.853	0.049		-0.229	0.084		1									12.215	-1.413	11.235	-1.289
YDR173C	ARG82																		Abundance Low	Abundance Low						
YDR174W	HMO1		574.5	32.88	668.5	40.25		1.164	0.097		0.219	0.120											19.18	2.888	15.48	1.898
YDR175C	RSM24		185.0	23.34	172.5	25.32		0.932	0.180		-0.101	0.279													14.47	-1.278
YDR176W	NGG1																		Abundance Low	Abundance Low						
YDR177W	UBC1		263.0	25.14	119.0	24.13		0.452	0.101		-1.144	0.323		1	1								17.6	-1.304	16.21	-0.602
YDR178W	SDH4		55.5	21.31	140.5	23.43		2.532	1.060		1.340	0.604													21.555	3.784
YDR179C	CSN9				48.3	21.70													Abundance Low						18.685	0.544
YDR180W	SCC2																		Abundance Low	Abundance Low						
YDR181C	SAS4																		Abundance Low	Abundance Low						
YDR182W	CDC1																		Abundance Low	Abundance Low						
YDR183W	PLP1																		Abundance Low	Abundance Low						
YDR184C	ATC1																		Abundance Low	Abundance Low						
YDR185C																			Abundance Low	Abundance Low					17.565	-0.640
YDR186C			50.5	21.40																Abundance Low						
YDR189W	SLY1		361.0	27.04	278.9	26.74		0.772	0.094		-0.372	0.176											16.09	-1.601	14.435	-0.219
YDR190C	RVB1		519.5	31.36	365.0	30.52		0.703	0.072		-0.509	0.149		1									20.735	4.150		
YDR191W	HST4																		Abundance Low	Abundance Low						
YDR193W																			Abundance Low	Abundance Low						
YDR194C	MSS116		427.0	28.95	421.5	31.97		0.987	0.100		-0.019	0.147											20.02	2.935	14.755	0.550
YDR195W	REF2		79.0	21.80	63.0	22.72		0.797	0.362		-0.327	0.655											24.055	-1.030	18.105	-0.581
YDR196C			84.5	21.88	80.5	23.25		0.953	0.370		-0.070	0.560											29.505	4.188	16.75	-0.985
YDR197W	CBS2																		Abundance Low	Abundance Low						
YDR200C	VPS64																		Abundance Low	Abundance Low						
YDR201W	SPC19																		Abundance Low	Abundance Low						
YDR202C	RAV2		52.0	21.26	51.0	21.76		0.981	0.580		-0.028	0.853														
YDR204W	COQ4																		Abundance Low	Abundance Low						
YDR205W	MSC2		93.5	21.83																Abundance Low			22.42	-2.317		
YDR207C	UME6		45.5	21.34																Failed QC/Abundance Low						
YDR208W	MSS4				59.5	22.64													Abundance Low							
YDR210W			159.5	23.12	77.0	22.28		0.483	0.156		-1.050	0.467											22.95	2.031	17.15	-0.113
YDR211W	GCD6		487.0	30.50	327.5	29.17		0.672	0.073		-0.572	0.157		1									15.575	-1.066	16.39	1.789
YDR213W	UPC2																		Abundance Low	Abundance Low						
YDR214W	AHA1		812.5	39.72	542.0	36.15		0.667	0.055		-0.584	0.119		1									16.105	0.627	13.255	-0.532
YDR216W	ADR1																		Abundance Low	Failed QC/Abundance Low						
YDR217C	RAD9																		Abundance Low	Abundance Low						
YDR219C			56.5	21.48	53.0	22.70		0.938	0.537		-0.092	0.826											26.11	-1.102		
YDR221W			64.5	21.59	49.5	22.42		0.767	0.432		-0.382	0.813											22.59	-3.907		
YDR222W																			Abundance Low	Abundance Low						
YDR224C	HTB1				14072.8	562.30													Failed QC							
YDR225W	HTA1																		Abundance Low	Abundance Low					18.08	-0.687
YDR226W	ADK1		3870.5	141.37	3286.5	139.65		0.849	0.048		-0.236	0.081		1									10.705	-2.535	10.815	-1.497
YDR227W	SIR4		70.0	21.67	119.5	23.84		1.707	0.629		0.772	0.531											25.255	-1.620	16.11	-1.111
YDR228C	PCF11																		Failed QC	Failed QC/Abundance Low						
YDR229W	IVY1		123.5	22.48	100.5	23.68		0.814	0.242		-0.297	0.430											26.845	4.744	16.5	-0.500
YDR231C	COX20				66.5	22.95													Abundance Low						17.19	-0.788
YDR232W	HEM1		160.0	23.10	222.0	26.40		1.388	0.260		0.472	0.270											27.21	6.382	18.29	2.955
YDR233C	RTN1		2599.5	98.22	2648.0	114.45		1.019	0.058		0.027	0.083											14.735	1.104	10.945	-1.460
YDR234W	LYS4		284.0	25.57	1259.0	61.21		4.433	0.454		2.148	0.148				1	1						22.51	4.402	13.87	0.921
YDR235W	PRP42		48.0	21.37																Abundance Low						
YDR236C	FMN1																		Abundance Low	Abundance Low						
YDR238C	SEC26		1466.0	60.33	1059.5	52.48		0.723	0.047		-0.468	0.093		1									11.46	-2.970	10.79	-2.244
YDR239C			82.5	21.85	55.0	22.51		0.667	0.325		-0.585	0.703											23.295	-1.442		
YDR240C	SNU56																		Abundance Low	Abundance Low						
YDR243C	PRP28																		Abundance Low	Abundance Low						
YDR244W	PEX5		58.0	21.34																Abundance Low						
YDR245W	MNN10		132.0	22.42	161.0	23.87		1.220	0.275		0.287	0.325											20.67	-2.121	16.65	-0.490
YDR246W	TRS23		147.5	22.67	116.0	22.92		0.786	0.197		-0.347	0.361											21.705	0.052	17.825	-0.835
YDR247W	VHS1		123.0	22.47	90.5	23.47		0.736	0.233		-0.443	0.458											22.46	0.042	16.34	-1.024
YDR248C					49.2	22.10													Abundance Low						17.505	-0.161
YDR250C			59.5	21.52																Abundance Low						
YDR251W	PAM1																		Abundance Low	Abundance Low						
YDR252W	BTT1		52.5	21.43	65.2	21.98		1.241	0.657		0.312	0.764													18.185	0.652
YDR253C	MET32																		Abundance Low	Failed QC/Abundance Low						
YDR254W	CHL4																		Abundance Low	Abundance Low						
YDR257C	SET7		183.0	23.53	240.0	26.69		1.311	0.223		0.391	0.245											19.695	-0.431	19.845	4.680
YDR258C	HSP78		233.0	24.51	329.5	29.21		1.414	0.195		0.500	0.198				1							26.84	7.467	21.33	6.724
YDR261C	EXG2		75.0	21.74																Abundance Low			26.685	0.366		
YDR262W			87.0	21.73																Abundance Low			22.77	-2.692		
YDR264C	AKR1		333.0	26.40	157.9	23.96		0.474	0.081		-1.076	0.247		1	1								17.5	-0.417	16.565	0.595
YDR265W	PEX10																		Abundance Low	Abundance Low						
YDR266C			115.5	22.35	98.5	23.37		0.853	0.261		-0.230	0.442											21.705	-1.060	17.37	0.021
YDR267C																			Abundance Low	Abundance Low						
YDR268W	MSW1				51.0	22.64													Abundance Low							
YDR270W	CCC2		65.0	21.60																Abundance Low			27.1	0.480		
YDR272W	GLO2		355.0	27.19	361.0	30.53		1.017	0.116		0.024	0.165											17.445	-0.250	13.175	-1.198
YDR275W	BSC2																		Abundance Low	Abundance Low						
YDR276C	PMP3																		Abundance Low	Abundance Low						
YDR279W	RNH202																		Abundance Low	Abundance Low						
YDR280W	RRP45		286.5	25.65	217.5	26.49		0.759	0.115		-0.398	0.218											19.595	1.623	13.47	-1.808
YDR281C	PHM6																		Abundance Low	Abundance Low						
YDR283C	GCN2																		Abundance Low	Abundance Low						
YDR284C	DPP1																		Abundance Low	Abundance Low						
YDR288W	NSE3																		Abundance Low	Abundance Low						
YDR291W																			Abundance Low	Abundance Low						
YDR293C	SSD1		577.5	32.93	579.5	37.13		1.003	0.086		0.005	0.124											18.68	2.446	15.56	1.816
YDR294C	DPL1		275.5	25.39	247.0	26.81		0.897	0.128		-0.158	0.205											17.45	-1.051	15.225	0.033
YDR295C	HDA2																		Abundance Low	Abundance Low						
YDR296W	MHR1		226.5	24.38	329.5	29.69		1.455	0.204		0.541	0.203				1							20.235	1.078	13.46	-1.048
YDR297W	SUR2		811.0	39.31	286.5	26.95		0.353	0.037		-1.501	0.153		1	1								15.995	0.388	19.66	4.545
YDR298C	ATP5		1220.0	52.03	1226.0	58.64		1.005	0.064		0.007	0.092											25.515	10.879	21.63	8.679
YDR299W	BFR2		361.0	27.34	184.0	25.34		0.510	0.080		-0.972	0.227		1									17.105	-0.435	16.65	0.878
YDR300C	PRO1		614.5	33.99	401.0	31.73		0.653	0.063		-0.616	0.139		1									15.49	-0.589	14.2	-0.030
YDR301W	CFT1		45.0	21.33																Abundance Low						
YDR302W	GPI11		431.0	29.06	358.5	30.39		0.832	0.090		-0.266	0.156											15.85	-1.183	13.235	-1.140
YDR303C	RSC3		397.5	28.22	358.0	30.26		0.901	0.099		-0.151	0.159														
YDR304C	CPR5		112.5	22.30																Abundance Low			26.315	3.849		
YDR305C	HNT2																		Abundance Low	Abundance Low						
YDR307W			132.0	22.62	127.0	24.03		0.962	0.246		-0.056	0.368											22.285	0.374	16.965	0.282
YDR308C	SRB7				53.4	21.80													Abundance Low						18.6	0.738
YDR309C	GIC2		68.0	21.64																Abundance Low			30.655	4.621		
YDR310C	SUM1																		Abundance Low	Abundance Low						
YDR311W	TFB1		57.5	21.51																Failed QC			25.3	-2.125		
YDR312W	SSF2		91.5	21.98	52.0	22.69		0.568	0.283		-0.815	0.719											28.015	3.937		
YDR313C	PIB1		51.5	21.25	82.0	22.28		1.592	0.787		0.671	0.713														
YDR314C																			Abundance Low	Abundance Low						
YDR316W	OMS1																		Abundance Low	Abundance Low						
YDR318W	MCM21																		Abundance Low	Abundance Low						
YDR319C																			Abundance Low	Abundance Low						
YDR320C	SWA2		118.5	22.40	103.0	23.50		0.869	0.258		-0.202	0.427											22.28	0.113	17.405	0.198
YDR320C-A	DAD4		128.0	22.56	110.3	22.82		0.861	0.234		-0.215	0.392											22.59	0.124	17.08	0.612
YDR322C-A	TIM11		80.0	21.81	103.1	22.74		1.288	0.452		0.366	0.506											26.56	1.864	18.245	1.758
YDR322W	MRPL35		183.5	23.53	175.0	25.39		0.954	0.185		-0.068	0.279											20.115	0.024	15.255	-0.481
YDR323C	PEP7																		Abundance Low	Abundance Low						
YDR324C	UTP4		211.0	24.06	124.0	23.90		0.588	0.132		-0.767	0.323		1									18.265	-1.090	16.54	-0.261
YDR325W	YCG1																		Abundance Low	Abundance Low						
YDR326C																			Abundance Low	Abundance Low						
YDR328C	SKP1		375.0	27.67	306.0	27.41		0.816	0.095		-0.293	0.167											16.1	-1.495	14.76	0.257
YDR329C	PEX3		71.0	21.68	76.0	22.20		1.070	0.452		0.098	0.610											32.915	6.596		
YDR330W	UBX5		106.5	22.21	275.0	27.66		2.582	0.598		1.369	0.334				1	1						23.265	-0.058	15.62	0.734
YDR331W	GPI8		225.5	24.10	142.5	23.46		0.632	0.124		-0.662	0.283		1									18.525	-0.903	18.32	0.754
YDR332W																			Abundance Low	Abundance Low						
YDR333C																			Abundance Low	Abundance Low						
YDR334W	SWR1																		Abundance Low	Abundance Low						
YDR335W	MSN5		171.0	23.32	130.0	24.08		0.760	0.175		-0.395	0.332											20.785	0.045	15.83	-0.723
YDR337W	MRPS28																		Abundance Low	Abundance Low						
YDR338C																			Abundance Low	Abundance Low						
YDR343C	HXT6		3384.5	124.36	3095.5	130.08		0.915	0.051		-0.129	0.081											22.175	8.832		
YDR344C																			Abundance Low	Abundance Low						
YDR345C	HXT3		3521.0	129.02	3056.5	128.06		0.868	0.048		-0.204	0.080		1									18.03	4.729	14.46	2.103
YDR346C	SVF1		1241.5	53.07	773.5	43.58		0.623	0.044		-0.683	0.102		1									12.495	-2.197	13.245	-0.163
YDR347W	MRP1		226.5	24.39	214.0	26.40		0.945	0.155		-0.082	0.236													14.59	-0.790
YDR348C					181.5	25.26													Failed QC						15.215	-0.599
YDR349C	YPS7		47.0	21.36																Abundance Low						
YDR350C	TCM10																		Failed QC/Abundance Low	Failed QC/Abundance Low						
YDR352W			248.5	24.85	173.0	25.35		0.696	0.124		-0.522	0.256											22.41	3.660	14.515	-1.181
YDR353W	TRR1		2484.5	94.35	1875.0	83.55		0.755	0.044		-0.406	0.084		1									12.76	-0.923	12.805	0.101
YDR354W	TRP4		109.0	22.25	517.0	35.25		4.743	1.021		2.246	0.310				1	1						26.785	3.994	13.88	0.028
YDR356W	SPC110																		Failed QC	Failed QC/Abundance Low						
YDR357C																			Abundance Low	Abundance Low					17.07	-1.437
YDR358W	GGA1		73.0	21.71	119.5	23.80		1.637	0.586		0.711	0.516											28.55	2.784	18.875	2.029
YDR361C	BCP1		355.0	27.20	224.5	26.64		0.632	0.089		-0.661	0.204		1									16.86	-0.705	15.6	0.400
YDR362C	TFC6																		Abundance Low	Abundance Low						
YDR363W	ESC2																		Abundance Low	Abundance Low						
YDR363W-A	SEM1		987.0	45.04	744.3	41.35		0.754	0.054		-0.407	0.104		1									12.755	-2.324	11.39	-1.997
YDR364C	CDC40		108.0	22.23																Failed QC/Abundance Low						
YDR365C	ESF1		404.5	28.41																Failed QC			26.365	9.524		
YDR367W			244.0	24.73	184.5	25.63		0.756	0.130		-0.403	0.248											19.9	0.951	14.765	-0.816
YDR368W	YPR1		385.5	27.92	264.0	27.71		0.685	0.087		-0.546	0.184		1									19.54	2.148	15.345	0.385
YDR369C	XRS2																		Abundance Low	Abundance Low						
YDR370C																			Abundance Low	Abundance Low						
YDR371W	CTS2																		Failed QC	Failed QC						
YDR372C	VPS74		234.5	24.53	232.5	26.93		0.991	0.155		-0.012	0.225											18.635	-0.497	14.005	-1.152
YDR373W	FRQ1		143.0	22.60	87.5	22.40		0.612	0.184		-0.709	0.434											25.005	3.053		
YDR375C	BCS1				52.0	21.77													Abundance Low							
YDR376W	ARH1																		Abundance Low	Abundance Low						
YDR377W	ATP17		214.0	23.87	344.0	28.39		1.608	0.223		0.685	0.200				1							27.135	7.688	18.09	3.878
YDR379C-A																			Abundance Low	Abundance Low						
YDR379W	RGA2		50.0	21.24	52.5	22.49		1.050	0.633		0.070	0.870														
YDR380W	ARO10		45.0	21.33																Abundance Low						
YDR381W	YRA1		4931.0	177.69	3782.0	157.42		0.767	0.042		-0.383	0.079		1											13.81	1.606
YDR382W	RPP2B		8027.5	283.76	6067.1	248.13		0.756	0.041		-0.404	0.078		1									10.215	-2.428	10.15	-1.848
YDR384C	ATO3		158.0	23.07	72.5	23.09		0.459	0.161		-1.124	0.505											24.145	3.361	17.395	-0.486
YDR385W	EFT2		8764.0	309.51	4113.5	170.43		0.469	0.026		-1.091	0.079		1	1								14.545	1.956	14.805	2.625
YDR388W	RVS167		444.5	29.40	463.0	33.26		1.042	0.102		0.059	0.141											16.07	-0.878	13.305	-0.694
YDR389W	SAC7		101.0	22.13	110.0	23.65		1.089	0.334		0.123	0.443											21.145	-2.826	16.815	-0.160
YDR390C	UBA2		87.5	21.92	73.5	22.87		0.840	0.336		-0.252	0.576											22.285	-2.369	17.82	-0.364
YDR391C			68.5	21.65	87.0	23.40		1.270	0.527		0.345	0.599											30.93	3.787	19.035	1.611
YDR392W	SPT3																		Abundance Low	Abundance Low						
YDR394W	RPT3		131.0	22.61	111.0	23.89		0.847	0.234		-0.239	0.398											22.42	0.709	20.025	3.393
YDR395W	SXM1		491.5	30.62	266.5	27.48		0.542	0.065		-0.883	0.174		1									16.92	0.274	15.41	0.444
YDR397C	NCB2		302.5	26.03	321.7	27.99		1.063	0.130		0.089	0.177											17.25	-0.907	13.53	-0.910
YDR398W	UTP5		407.5	28.16	213.0	25.99		0.523	0.073		-0.936	0.202		1									16.35	-0.890	16.385	0.945
YDR399W	HPT1		1615.0	65.31	1287.0	62.29		0.797	0.050		-0.328	0.091		1									13.44	-0.817	11.835	-1.086
YDR400W	URH1		89.0	21.94																Abundance Low			23.335	-1.361		
YDR404C	RPB7		584.0	33.12	546.4	34.59		0.936	0.080		-0.096	0.123														
YDR405W	MRP20		113.0	22.31	157.5	25.00		1.394	0.353		0.479	0.365											22.235	-0.428	15.325	-0.565
YDR407C	TRS120																		Abundance Low	Abundance Low						
YDR408C	ADE8		408.0	28.48	656.5	39.95		1.609	0.149		0.686	0.134				1							17.25	0.077	14.145	0.602
YDR409W	SIZ1																		Abundance Low	Abundance Low						
YDR410C	STE14		59.0	21.35	97.5	22.56		1.653	0.710		0.725	0.620														
YDR411C	DFM1		97.5	22.07	147.0	24.69		1.508	0.425		0.592	0.407											22.74	-0.830	15.795	-0.355
YDR412W			115.5	22.37	49.5	22.65		0.429	0.213		-1.222	0.717											21.525	-0.989		
YDR414C	ERD1																		Abundance Low	Abundance Low						
YDR416W	SYF1																		Abundance Low	Abundance Low						
YDR418W	RPL12B		5767.0	206.38	3942.3	162.16		0.684	0.037		-0.549	0.079		1									9.875	-2.996	10.72	-1.440
YDR419W	RAD30																		Abundance Low	Abundance Low						
YDR421W	ARO80																		Abundance Low	Abundance Low						
YDR422C	SIP1				50.0	22.45													Abundance Low							
YDR423C	CAD1																		Abundance Low	Abundance Low						
YDR424C	DYN2				84.2	22.31													Abundance Low						16.77	-0.134
YDR425W	SNX41				53.0	22.48													Abundance Low							
YDR427W	RPN9		1028.0	46.31	1108.5	56.25		1.078	0.073		0.109	0.098											14.18	-0.826	9.99	-3.055
YDR429C	TIF35																		Abundance Low	Abundance Low						
YDR430C	CYM1		139.0	22.74	113.0	23.72		0.813	0.216		-0.299	0.384											21.875	0.164	17.05	0.075
YDR432W	NPL3		4298.5	156.34	2933.0	123.46		0.682	0.038		-0.551	0.080		1									12.14	-0.976		
YDR434W	GPI17		190.5	23.67	142.0	24.37		0.745	0.158		-0.424	0.306											22.105	1.990	19.675	3.348
YDR436W	PPZ2																		Abundance Low	Abundance Low						
YDR437W																			Abundance Low	Abundance Low						
YDR439W	LRS4																		Abundance Low	Abundance Low						
YDR440W	DOT1																		Abundance Low	Abundance Low						
YDR441C	APT2		88.0	21.93																Abundance Low			24.14	0.273		
YDR443C	SSN2																		Abundance Low	Failed QC/Abundance Low						
YDR444W																			Abundance Low	Abundance Low						
YDR447C	RPS17B		4988.0	180.20	3752.0	157.47		0.752	0.042		-0.411	0.080		1									12.245	-0.736	9.815	-2.410
YDR448W	ADA2		59.0	21.52	65.5	22.91		1.110	0.561		0.151	0.729											24.58	-2.563	16.51	-1.830
YDR449C	UTP6		280.0	25.49	150.0	24.79		0.536	0.101		-0.900	0.272		1									18.005	-0.330	16.5	0.439
YDR450W	RPS18A		166.0	23.21	91.0	23.47		0.548	0.161		-0.867	0.423											20.17	-0.415	16.305	-0.902
YDR451C	YHP1																		Abundance Low	Abundance Low						
YDR452W	PPN1																		Abundance Low	Abundance Low						
YDR453C	TSA2		131.5	22.61	127.5	23.13		0.969	0.242		-0.045	0.361											33.77	11.399	23.16	6.908
YDR454C	GUK1		806.5	39.56	633.1	37.40		0.785	0.060		-0.349	0.111		1									14.39	-1.130	14.075	0.533
YDR456W	NHX1		121.0	22.24	98.0	22.59		0.810	0.239		-0.304	0.425											22.66	-0.516		
YDR457W	TOM1				48.5	22.80													Abundance Low							
YDR458C			46.0	21.35																Abundance Low						
YDR460W	TFB3		58.5	21.52																Abundance Low						
YDR461W	MFA1		2197.5	84.45																Failed QC			27.62	13.680		
YDR462W	MRPL28		177.5	23.42	199.7	24.78		1.125	0.204		0.170	0.261											20.94	0.503	14.32	-0.933
YDR463W	STP1																		Abundance Low	Abundance Low						
YDR464W	SPP41																		Abundance Low	Abundance Low						
YDR465C	RMT2		184.5	23.55	87.0	23.36		0.472	0.140		-1.085	0.429		1	1								21.9	1.832	16.74	-0.565
YDR469W	SDC1																		Abundance Low	Abundance Low						
YDR471W	RPL27B		3454.5	127.34	2512.0	109.44		0.727	0.041		-0.460	0.082		1									12.38	-0.939	10.375	-2.068
YDR472W	TRS31		139.0	22.54																Abundance Low			22.26	0.390		
YDR473C	PRP3				49.5	22.62													Abundance Low							
YDR474C																			Abundance Low	Abundance Low						
YDR476C			107.0	22.22	63.0	22.91		0.589	0.247		-0.764	0.604											27.62	4.113	18.55	0.140
YDR477W	SNF1		272.5	25.33	310.5	28.48		1.139	0.149		0.188	0.188											17.44	-1.139	14.81	0.090
YDR478W	SNM1																		Abundance Low	Abundance Low						
YDR479C	PEX29				69.0	22.80													Abundance Low						17.52	-1.088
YDR480W	DIG2																		Abundance Low	Abundance Low						
YDR481C	PHO8		58.5	21.35																Abundance Low						
YDR482C	CWC21		70.5	21.68																Abundance Low			25.03	-1.590		
YDR483W	KRE2		204.0	23.68																Abundance Low			22.215	2.261		
YDR484W	VPS52		66.5	21.45	106.5	22.81		1.602	0.620		0.679	0.559														
YDR485C	VPS72																		Abundance Low	Abundance Low						
YDR486C	VPS60		136.0	22.69	107.0	23.80		0.787	0.219		-0.346	0.401											24.035	2.165	16.4	-0.539
YDR487C	RIB3		449.0	29.53	615.5	38.72		1.371	0.125		0.455	0.131				1							17.745	0.824	13.055	-0.590
YDR492W	IZH1																		Abundance Low	Failed QC/Abundance Low						
YDR493W	FMP36																		Abundance Low	Abundance Low						
YDR495C	VPS3																		Abundance Low	Abundance Low						
YDR496C	PUF6		735.0	37.45	374.5	30.58		0.510	0.049		-0.973	0.139		1									14.9	-0.767	14.46	0.077
YDR497C	ITR1		494.5	30.36	1283.5	61.45		2.596	0.202		1.376	0.112				1	1						20.075	3.228	16.72	3.744
YDR498C	SEC20				55.5	21.84													Abundance Low							
YDR499W	LCD1																		Abundance Low	Abundance Low						
YDR500C	RPL37B		2820.5	105.61	2236.0	98.60		0.793	0.046		-0.335	0.083		1									11.705	-1.822	9.84	-2.674
YDR502C	SAM2		1372.0	57.35	1560.5	72.87		1.137	0.071		0.186	0.090											21.4	6.907	21.835	9.083
YDR503C	LPP1		44.5	21.17	55.5	21.83		1.247	0.770		0.319	0.890														
YDR505C	PSP1		75.5	21.74																Failed QC			22.47	-2.943		
YDR507C	GIN4		153.5	22.99	92.0	23.16		0.599	0.176		-0.739	0.423											22.255	1.163	18.76	0.860
YDR508C	GNP1		2635.5	98.92	3452.7	143.60		1.310	0.073		0.390	0.081				1							11.915	-1.716	12.58	0.346
YDR510W	SMT3		1136.0	49.31	922.4	47.34		0.812	0.055		-0.301	0.097		1									12.16	-2.673	11.735	-1.399
YDR511W	ACN9				61.3	21.93													Abundance Low						17.895	0.160
YDR513W	TTR1		62.0	21.56																Abundance Low			26.37	-1.202		
YDR514C																			Abundance Low	Abundance Low						
YDR515W	SLF1		118.0	22.39	73.0	23.13		0.619	0.228		-0.693	0.533											22.865	0.563	17.98	0.262
YDR516C	EMI2		101.0	21.95	79.5	23.00		0.787	0.285		-0.345	0.522											34.995	10.258	22.01	4.091
YDR517W	GRH1		316.0	26.29	245.0	27.22		0.775	0.108		-0.367	0.200											16.865	-1.052	13.49	-1.531
YDR519W	FPR2		51.5	21.42	52.5	21.83		1.019	0.600		0.028	0.848														
YDR520C																			Abundance Low	Abundance Low						
YDR523C	SPS1																		Abundance Low	Abundance Low						
YDR524C	AGE1		115.0	22.34																Abundance Low			23.25	0.687		
YDR525W-A	SNA2		1155.0	50.37	685.0	40.39		0.593	0.043		-0.754	0.106		1									14.955	0.156		
YDR527W	RBA50		124.0	22.49	102.0	23.71		0.823	0.243		-0.282	0.425											22.45	0.305	16.01	-0.791
YDR528W	HLR1		48.0	21.37																Abundance Low						
YDR529C	QCR7		783.5	38.85	1381.5	64.17		1.763	0.120		0.818	0.098				1							22.775	7.238	18.395	5.487
YDR530C	APA2																		Abundance Low	Abundance Low						
YDR531W			66.0	21.61	97.0	23.60		1.470	0.600		0.556	0.589											22.615	-3.151	16.575	-0.526
YDR532C																			Abundance Low	Abundance Low						
YDR533C	HSP31				147.5	24.71													Abundance Low						22.955	6.872
YDR538W	PAD1																		Abundance Low	Abundance Low						
YDR539W			58.0	21.50	63.5	22.66		1.095	0.563		0.131	0.742											30.875	3.663		
YDR540C																			Abundance Low	Abundance Low						
YEL001C			820.5	39.59	525.0	34.02		0.640	0.052		-0.644	0.117		1									17.445	1.938	16.44	2.386
YEL002C	WBP1		760.0	38.16	616.0	36.94		0.811	0.063		-0.303	0.113		1									15.09	-0.538	12.245	-1.537
YEL003W	GIM4		86.5	21.72	61.5	21.93		0.711	0.310		-0.492	0.629											26.715	1.103	17.99	0.290
YEL005C	VAB2																		Abundance Low	Abundance Low						
YEL006W																			Abundance Low	Abundance Low						
YEL007W			225.5	24.35	255.0	27.19		1.131	0.172		0.177	0.219											19.945	0.669	15.745	0.626
YEL008W																			Abundance Low	Abundance Low						
YEL009C	GCN4																		Abundance Low	Abundance Low						
YEL011W	GLC3				78.5	23.03													Abundance Low						23.66	5.561
YEL012W	UBC8		60.5	21.54	75.5	23.18		1.248	0.587		0.320	0.678											27.65	0.297	16.13	-1.309
YEL013W	VAC8		512.0	30.82	458.5	31.99		0.896	0.083		-0.159	0.133											16.56	-0.053	14.47	0.220
